"","sample_id","sample.type","sample.day","genotype","fertilization","ecostyle","replicates","soil_moisture","wet","pH_water","pH_kcl","Ecp","Eb","Ecb","nitraat","ammonia","shoot_length","root_length","shoot_dry_weight","root_dry_weight","tuber_dry_weight","root_shoot_ratio","tuber_fresh_weight"
"28","TP14_16S","Rhizosphere","8 weeks","Danuta","high","no","A",7.71046063081462,0.105,5.285,5.075,"too dry",5.2,7,NA,NA,29.8,18,1.35,0.1412,12.87,10.4592592592593,42
"29","TP15_16S","Rhizosphere","5 weeks","Desiree","low","yes","A",9.27922309337137,0.045,5.895,5.51,"too dry",3.2,0,NA,NA,34,47.5,0.9183,0.1655,10.73,18.0224327561799,37
"30","TP16_16S","Rhizosphere","8 weeks","Danuta","low","yes","A",8.57343969967151,0.065,6.01,5.365,"too dry",3.8,0,NA,NA,22,15,0.851,0.2456,10.95,28.8601645123384,30
"31","TP18_16S","Rhizosphere","8 weeks","Jelly","high","no","A",7.22897644150736,0.069,5.405,5.09,"too dry",3.9,2,NA,NA,25,9,1.628,0.189,19.52,11.6093366093366,52
"32","TP19_16S","Rhizosphere","8 weeks","Danuta","high","yes","A",7.36358644101641,0.115,5.32,5.14,"too dry",5.6,8,NA,NA,31,14,1.384,0.0998,9.43,7.21098265895954,31
"33","TP2_16S","Rhizosphere","8 weeks","Control","high","yes","A",7.11509859425227,0.066,5.015,4.965,"too dry",3.8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","TP20_16S","Rhizosphere","8 weeks","Desiree","high","no","A",7.57448074158528,0.041,5.41,5.155,"too dry",3,1,NA,NA,24,19,1.416,0.239,13.46,16.8785310734463,50
"35","TP21_16S","Rhizosphere","8 weeks","Danuta","low","no","A",6.67754657962737,0.043,5.925,5.3,"too dry",3.1,0,NA,NA,25,12,0.78,0.1066,11.01,13.6666666666667,30
"36","TP22_16S","Rhizosphere","8 weeks","Control","high","no","A",7.52503709198815,0.104,5.09,4.98,"too dry",5.2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","TP23_16S","Rhizosphere","5 weeks","Desiree","low","no","A",7.40929777550933,0.005,5.97,5.35,"too dry",3.3,0,NA,NA,29,51,1.1049,0.1896,10.52,17.1599239750204,33
"38","TP24_16S","Rhizosphere","8 weeks","Desiree","low","yes","A",6.90714498067582,0.074,6.025,5.375,"too dry",4.1,0,NA,NA,32.5,12.5,0.913,0.0737,8.45,8.07228915662651,39
"39","TP25_16S","Rhizosphere","8 weeks","Danuta","high","yes","B",7.18695736060196,0.09,5.225,5.01,"too dry",4.7,3,48.7203366125514,1.81560630991907,25,8.5,1.209,0.0443,10.44,3.6641852770885,32
"40","TP26_16S","Rhizosphere","8 weeks","Jelly","high","no","B",6.81177299964751,0.083,5.455,5.12,"too dry",4.4,3,29.9255591389113,1.71504094832026,31,57,1.919,0.4244,18.94,22.1156852527358,59
"41","TP27_16S","Rhizosphere","8 weeks","Jelly","low","no","B",7.37865050343136,0.06,5.865,5.265,"too dry",3.6,0,8.03388737670975,1.88951041056963,27,35,1.068,0.2686,12.97,25.1498127340824,41
"42","TP28_16S","Rhizosphere","8 weeks","Desiree","low","no","B",7.71439329756187,0.05,5.965,5.32,"too dry",3.3,1,4.8023735161261,1.6889966519904,25,12,0.896,0.1609,10.69,17.9575892857143,39
"43","TP29_16S","Rhizosphere","5 weeks","Desiree","high","yes","B",5.34689047639917,0.025,5.5,5.115,"too dry",2.6,0,13.6690877324985,1.5668485471272,31,30,1.7676,0.2038,10.07,11.5297578637701,57
"44","TP3_16S","Rhizosphere","8 weeks","Desiree","high","yes","A",6.15683119587337,0.056,5.325,5.02,"too dry",3.5,1,NA,NA,31.5,16,1.388,0.0856,12.6,6.1671469740634,51
"45","TP31_16S","Rhizosphere","8 weeks","Control","high","yes","B",10.9571293969849,0.137,5.275,5.185,"too dry",6.5,12,153.915888572354,1.65408253970518,NA,NA,NA,NA,NA,NA,NA
"46","TP34_16S","Rhizosphere","8 weeks","Danuta","low","yes","B",7.18085106382978,0.049,5.865,5.325,"too dry",3.3,0,10.3545814678393,1.18955823164133,16,6,0.6,0.0364,7.64,6.06666666666667,19
"47","TP35_16S","Rhizosphere","8 weeks","Desiree","low","yes","B",7.00126323972404,0.037,5.925,5.305,"too dry",2.9,0,3.91179228010042,1.45247325276592,28,12,0.829,0.0821,12.62,9.90349819059107,36
"48","TP36_16S","Rhizosphere","8 weeks","Danuta","low","no","B",7.25476018317666,0.086,5.79,5.295,"too dry",4.5,1,10.5245914152523,1.76604228880281,16,48,0.69,0.1033,7.06,14.9710144927536,20
"49","TP37_16S","Rhizosphere","8 weeks","Control","low","yes","B",7.73757416593717,0.101,5.605,5.31,"too dry",5.1,5,50.5806866789041,1.79924994727946,NA,NA,NA,NA,NA,NA,NA
"50","TP38_16S","Rhizosphere","8 weeks","Danuta","high","no","B",7.88670608430288,0.103,5.475,5.19,"too dry",5.1,6,42.5351335480069,1.3566713639576,28.5,22,1.47,0.1,10.57,6.80272108843537,37
"51","TP39_16S","Rhizosphere","5 weeks","Desiree","high","no","B",7.0185935198822,0.042,5.62,5.25,"too dry",3.1,1,7.71440979752504,1.44831639588393,35,24,1.7235,0.141,10.03,8.18102697998259,42
"52","TP4_16S","Rhizosphere","8 weeks","Jelly","low","no","A",6.22692591681024,0.005,5.785,5.345,"too dry",2.1,-1,NA,NA,32,32,0.957,0.1706,13.77,17.8265412748171,38
"53","TP40_16S","Rhizosphere","5 weeks","Desiree","low","yes","B",16.29185045918,0.232,5.93,5.59,"193",11.2,17,23.6000111834728,1.40254171607029,29,9,0.2352,0.0319,4.29,13.562925170068,11
"54","TP42_16S","Rhizosphere","5 weeks","Desiree","low","no","B",11.0520819143622,0.042,6.07,5.405,"too dry",3.1,0,1.35253729938999,1.51742316861196,28,21.2,1.105,0.1484,10.05,13.4298642533937,34
"55","TP43_16S","Rhizosphere","8 weeks","Desiree","high","yes","B",7.86300048239268,0.103,5.485,5.19,"too dry",5.1,5,28.4389219360944,1.50562975682158,30,42,1.602,0.1763,15.49,11.0049937578027,53
"56","TP44_16S","Rhizosphere","8 weeks","Control","high","no","B",11.8226835539472,0.224,5.335,5.19,"445",10.8,38,83.8812689993564,1.2890315257352,NA,NA,NA,NA,NA,NA,NA
"57","TP45_16S","Rhizosphere","8 weeks","Control","low","no","B",9.80644522548388,0.123,5.655,5.29,"too dry",5.9,7,31.948265846038,1.28143261690999,NA,NA,NA,NA,NA,NA,NA
"58","TP46_16S","Rhizosphere","8 weeks","Jelly","high","yes","B",6.2353515625,0.096,5.485,5.12,"too dry",4.9,3,17.5394116686982,1.53520660495958,30,20,1.947,0.1793,18.46,9.2090395480226,63
"59","TP47_16S","Rhizosphere","8 weeks","Jelly","low","yes","B",10.3314595851909,0.135,5.99,5.455,"too dry",6.4,3,5.85349928850683,1.23276131941706,22.5,23,0.889,0.1103,14.96,12.4071991001125,43
"60","TP48_16S","Rhizosphere","8 weeks","Desiree","high","no","B",7.88786853552443,0.099,5.24,4.975,"too dry",5,3,22.8344941994776,1.82568281697437,26,25,1.567,0.3301,12.77,21.0657306955967,57
"61","TP49_16S","Rhizosphere","8 weeks","Jelly","low","yes","C",7.77176586325625,0.081,6.09,5.39,"too dry",4.3,1,4.06791899757088,2.06630391141802,23,29,1.142,0.2957,14.72,25.8931698774081,51
"62","TP50_16S","Rhizosphere","8 weeks","Control","high","yes","C",9.10871694417238,0.147,5.355,5.165,"too dry",6.9,14,95.8599468517461,1.29413676121321,NA,NA,NA,NA,NA,NA,NA
"63","TP51_16S","Rhizosphere","5 weeks","Desiree","low","no","C",9.46751027571236,0.058,5.955,5.33,"too dry",3.6,0,1.68366925420639,1.40945870779309,27,28.5,1.0474,0.2757,9.56,26.322321940042,34.41
